nome,genero,presença_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,data_nascimento,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto,quant_viagem
 FERNANDO BEZERRA DE SOUZA COELHO FILHO,M,81,6,5,6,39,4, 28/02/1984,"265.195,17","32.904,38","26.191,67","46.599,60","42.640,35","22.991,65","38.141,86","34.943,44","7.902,03","1.389,61","11.490,58","0,00",0,"1.087.816,23","106.461,21","106.461,21","106.461,21","106.461,21","107.548,75","111.277,47","111.277,47","110.295,40","110.786,15","110.786,15",0,0,"33.763,00",
 FRANCO CARTAFINA GOMES,M,86,3,3,44,15,4, 03/11/1986,"317.134,14","28.065,10","33.009,58","43.304,17","45.119,68","52.088,32","34.699,31","22.247,15","51.692,11","4.820,12","2.088,60","0,00",0,"1.112.857,76","110.962,06","110.962,06","110.962,06","110.962,06","111.166,17","111.568,67","111.568,67","111.568,67","111.568,67","111.568,67",0,0,"33.763,00",
 FREDERICO BORGES DA COSTA,M,83,0,9,14,5,1, 12/07/1977,"284.352,33","14.730,30","29.479,43","41.701,41","55.095,45","44.266,74","24.177,23","21.336,08","23.057,48","15.301,98","12.687,52","2.518,71",0,"1.077.826,83","110.167,89","108.567,01","109.305,97","109.305,97","109.563,08","108.452,71","101.554,25","109.006,01","107.977,56","103.926,38",0,0,"33.763,00",
 FRANCISCO RODRIGUES VALE JUNIOR,M,87,2,3,25,6,2, 15/03/1969,"309.142,86","17.093,58","30.616,27","50.032,21","33.547,10","38.718,63","30.008,06","31.405,20","20.504,95","10.000,71","26.688,21","20.527,94",0,"1.076.485,10","110.440,58","110.440,58","110.440,58","110.440,58","108.630,41","108.370,30","101.304,39","105.472,56","105.472,56","105.472,56",0,0,"33.763,00",
 FERNANDO MONTEIRO DE ALBUQUERQUE,M,87,0,5,17,3,4, 17/09/1976,"313.976,39","33.166,59","36.756,35","50.815,63","46.090,78","35.207,06","35.106,58","33.522,18","12.348,74","7.355,49","22.923,02","683,97",0,"1.095.114,70","111.665,62","111.462,42","111.451,57","108.833,71","111.665,62","111.665,62","111.665,62","110.146,43","102.361,66","104.196,43",0,0,"33.763,00",1
 FLÁVIO RODRIGUES NOGUEIRA,M,91,0,1,39,4,0, 27/02/1953,"393.018,11","38.329,27","41.835,51","39.604,13","37.048,37","42.494,03","47.068,00","42.082,62","36.727,61","36.484,39","31.344,18","0,00",0,"1.106.884,69","110.937,69","110.937,69","111.074,66","110.962,76","111.467,18","111.544,27","111.544,27","111.544,27","111.544,27","105.327,63",0,0,"33.763,00",
 FILIPE BARROS BAPTISTA DE TOLEDO RIBEIRO,M,82,0,10,13,10,3, 29/05/1991,"280.703,15","39.534,77","31.018,40","49.744,00","46.765,21","50.641,59","43.365,67","18.271,75","239,65","40,19","487,13","594,79",0,"938.905,52","97.669,43","98.842,46","98.853,61","101.434,99","105.314,69","105.934,61","105.601,33","88.221,20","71.613,40","65.419,80",0,0,"33.763,00",
 FLAVIANO FLÁVIO BAPTISTA DE MELO,M,82,0,10,3,1,0, 17/11/1949,"437.655,10","34.282,68","37.155,36","51.227,13","29.713,90","79.405,70","25.480,53","38.048,40","39.592,10","55.425,57","27.323,73","20.000,00",0,"1.104.480,65","107.904,83","107.983,89","111.367,03","111.659,62","111.659,62","111.659,62","111.659,62","110.227,30","110.179,56","110.179,56",0,0,"33.763,00",
 FERNANDO RODOLFO TENORIO DE VASCONCELOS,M,83,5,4,17,51,3, 17/11/1983,"295.230,86","34.398,75","34.442,45","46.954,27","61.790,50","42.253,99","30.175,92","26.376,10","10.140,69","7.883,19","815,00","0,00",0,"1.015.741,66","110.824,90","108.472,48","109.833,05","104.726,42","110.607,73","107.797,77","106.334,87","77.927,20","90.812,99","88.404,25",0,0,"33.763,00",
 ANTONIO RIBEIRO,M,86,0,6,30,14,4, 03/03/1944,"361.093,35","40.812,78","41.699,11","53.527,13","42.212,73","53.135,08","32.573,14","21.560,81","17.788,85","19.494,29","37.332,36","957,07",0,"1.106.146,52","110.889,19","110.889,19","110.889,19","110.313,55","109.560,78","110.047,86","110.889,19","110.889,19","110.889,19","110.889,19",0,0,"33.763,00",
 GENECIAS MATEUS NORONHA,M,58,3,31,0,0,0, 13/03/1963,"177.557,54","6.912,14","17.143,52","33.463,86","26.327,99","19.477,71","14.497,11","13.104,39","10.260,84","26.907,04","9.462,94","0,00",0,"1.012.113,82","92.989,03","98.109,44","100.534,90","101.430,22","99.984,28","106.905,63","103.040,08","103.040,08","103.040,08","103.040,08",0,0,"33.763,00",
 ELIÉSER GIRÃO MONTEIRO FILHO,M,85,3,4,47,6,3, 08/05/1955,"353.477,47","37.148,25","58.184,62","39.315,76","43.316,28","45.230,05","37.619,01","23.969,66","26.317,64","11.139,62","31.236,58","0,00",0,"1.114.542,85","111.550,61","111.550,61","111.550,61","111.550,61","111.550,61","110.587,36","111.550,61","111.550,61","111.550,61","111.550,61",0,0,"33.763,00",
 GELSON DE AZEVEDO ALMEIDA,M,88,4,0,17,13,0, 10/01/1965,"268.046,24","17.208,87","18.142,04","73.589,54","23.955,82","60.671,30","21.380,73","24.088,36","10.719,92","15.215,86","1.858,58","1.215,22",0,"1.112.585,65","111.429,10","111.429,10","111.429,10","111.207,70","111.523,22","111.580,75","111.580,75","111.580,75","111.580,75","109.244,43",0,0,"33.763,00",
 ROBERTO SEBASTIÃO PETERNELLI JUNIOR,M,89,3,0,132,21,0, 06/08/1954,"217.684,66","17.011,69","44.800,56","44.569,19","22.660,96","25.933,02","28.500,81","13.743,54","8.753,72","5.423,58","6.241,24","46,35",0,"730.045,66","67.824,41","70.484,71","70.484,71","74.499,52","79.446,76","86.394,48","95.109,95","76.397,80","54.701,66","54.701,66",0,0,"33.763,00",
 EUGENIO JOSÉ ZULIANI,M,51,24,17,9,37,17, 13/01/1976,"281.317,44","35.715,90","40.468,18","42.837,22","40.713,17","63.995,25","18.553,55","16.151,75","15.973,11","2.755,29","3.475,52","678,50",0,"1.080.042,52","111.641,38","111.641,38","111.641,38","106.897,30","106.370,18","106.370,18","106.370,18","106.370,18","106.370,18","106.370,18",0,0,"33.763,00",
 GERVÁSIO AGRIPINO MAIA,M,81,6,5,36,14,5, 14/04/1975,"266.572,24","23.330,03","37.075,33","36.581,92","43.748,87","45.588,36","26.193,97","18.498,45","14.012,00","10.194,19","11.028,08","321,04",0,"1.105.894,42","111.615,50","110.598,88","110.561,62","110.298,77","109.955,04","109.955,04","110.552,62","111.283,45","110.263,58","110.809,92",0,0,"33.763,00",
 GILLIANO FRED NASCIMENTO CUTRIM,M,76,11,5,22,27,4, 26/10/1979,"399.839,52","46.898,79","47.176,96","48.122,54","51.226,09","58.582,87","18.377,58","25.986,45","21.934,68","12.000,22","69.533,34","0,00",0,"1.115.308,02","111.301,75","111.301,75","111.619,50","111.641,41","111.641,41","111.641,41","111.641,41","111.641,41","111.641,41","111.236,56",0,0,"33.763,00",
 FERNANDO LÚCIO GIACOBO,M,86,5,1,13,7,1, 17/12/1970,"365.841,43","27.455,42","49.074,18","58.575,31","7.832,83","52.242,70","38.497,82","8.820,58","6.333,82","4.309,92","62.608,85","50.090,00",0,"1.096.371,61","110.392,00","111.089,37","110.699,96","111.659,53","111.616,68","104.856,92","111.659,53","110.779,99","111.160,32","102.457,31",0,0,"33.763,00",
 GILBERTO APARECIDO ABRAMO,M,85,5,2,19,6,1, 06/08/1966,"216.901,65","18.146,52","22.003,33","27.404,71","34.209,75","32.718,06","23.558,03","15.039,80","18.280,76","12.603,88","12.846,34","90,47",0,"1.077.796,52","106.564,34","106.564,34","107.092,65","108.384,08","108.384,08","108.384,08","107.270,71","108.384,08","108.384,08","108.384,08",0,0,"33.763,00",
 GILSON MARQUES VIEIRA,M,88,0,4,40,5,5, 12/04/1981,"50.883,26","3.483,84","5.736,09","5.095,21","6.494,69","11.767,82","7.335,78","6.816,37","1.383,89","3,11","2.766,46","0,00",0,"798.657,16","78.079,20","78.079,20","78.079,20","79.784,92","80.772,44","80.772,44","80.772,44","80.772,44","80.772,44","80.772,44",0,0,"33.763,00",
 GIOVANI CHERINI,M,86,3,3,40,13,3, 23/06/1960,"411.793,60","35.135,42","42.357,46","49.953,41","49.975,70","53.766,31","54.876,19","39.994,44","42.715,35","21.531,51","20.310,87","1.176,94",0,"1.114.323,38","111.574,70","111.574,70","111.574,70","111.574,70","111.574,70","110.520,47","111.205,28","111.574,71","111.574,71","111.574,71",0,0,"33.763,00",
 GILBERTO NASCIMENTO SILVA,M,65,0,27,29,9,3, 09/07/1956,"400.488,83","42.667,83","49.626,23","52.149,16","48.827,83","41.954,56","33.307,84","45.287,25","30.344,91","25.638,80","24.688,09","5.996,33",0,"1.077.002,90","110.917,37","111.198,75","111.198,75","111.198,75","106.097,59","109.244,31","100.666,68","106.570,48","106.570,48","103.339,74",0,0,"33.763,00",
 GIOVANI BATISTA FELTES,M,91,1,0,18,4,0, 10/04/1957,"292.295,12","32.091,85","37.369,29","35.989,03","63.623,79","29.111,39","20.875,74","31.955,95","26.391,45","5.880,69","7.923,74","1.082,20",0,"1.095.245,29","111.083,28","111.101,04","111.544,86","109.378,77","108.521,73","109.627,69","107.747,07","108.089,89","109.075,48","109.075,48",0,0,"33.763,00",
 DANIEL PIRES COELHO,M,91,1,0,6,0,0, 04/11/1978,"356.643,22","56.899,01","47.545,19","47.271,20","44.454,63","36.128,30","30.323,85","32.107,75","22.965,49","20.599,99","18.151,21","196,60",0,"1.114.987,92","111.319,00","111.580,81","111.580,81","111.580,81","111.332,51","111.580,82","111.559,70","111.471,69","111.474,71","111.507,06",0,0,"33.763,00",
 DANIEL GOMES DE ALMEIDA,M,90,0,2,38,37,0, 21/01/1955,"355.283,65","58.756,35","47.548,42","44.459,65","51.389,18","32.596,32","29.676,29","18.598,64","16.188,74","14.756,90","40.472,41","840,75",0,"1.116.596,10","111.659,61","111.659,61","111.659,61","111.659,61","111.659,61","111.659,61","111.659,61","111.659,61","111.659,61","111.659,61",0,0,"33.763,00",
 DANIEL LUCIO DA SILVEIRA,M,89,2,1,87,58,1, 25/11/1982,"304.626,81","35.637,58","37.560,86","37.098,84","37.913,96","39.709,62","33.297,09","28.745,65","27.784,42","13.563,62","12.600,99","714,18",0,"1.050.905,67","104.730,18","106.558,15","108.774,14","109.706,94","105.193,39","103.433,49","86.143,80","107.120,36","107.862,35","111.382,87",0,0,"33.763,00",
 DANIEL COSTA DE FREITAS,M,77,15,0,3,0,0, 03/04/1982,"294.909,83","38.606,89","24.248,40","40.255,97","47.999,13","45.138,90","30.847,10","32.894,95","25.917,35","4.096,46","4.904,68","0,00",0,"1.099.503,46","105.697,03","105.697,03","109.243,35","110.816,55","110.933,95","111.423,11","111.423,11","111.423,11","111.423,11","111.423,11",0,0,"33.763,00",
 DANILO JORGE DE BARROS CABRAL,M,83,6,3,8,22,6, 21/04/1967,"272.413,48","23.243,32","23.195,87","25.003,47","45.722,17","49.445,71","26.152,01","32.469,21","12.877,47","8.866,71","24.597,36","840,18",0,"1.005.945,69","95.045,26","95.045,26","94.090,38","98.095,56","99.861,52","99.861,52","100.443,65","100.923,05","111.114,04","111.465,45",0,0,"33.763,00",
 DANIEL TRZECIAK DUARTE,M,86,0,6,31,6,8, 04/11/1986,"212.359,17","9.307,83","15.211,53","16.366,04","39.352,32","18.241,57","20.817,46","28.100,30","16.051,09","16.840,25","32.070,78","0,00",0,"1.044.495,31","105.455,53","105.415,99","105.436,13","105.982,05","108.226,36","109.497,39","106.036,48","94.998,83","99.412,79","104.033,76",0,0,"33.763,00",
 FRANCISCO DANILO BASTOS FORTE,M,86,3,3,42,21,2, 01/09/1958,"397.193,34","67.906,91","48.807,99","40.578,79","52.959,10","80.716,86","57.550,28","22.707,17","9.622,62","6.546,36","9.678,36","118,90",0,"1.052.260,59","109.573,04","105.109,88","101.753,78","107.930,59","108.735,93","108.600,66","101.671,79","104.239,59","101.843,93","102.801,40",0,0,"33.763,00",
 DARCI DE MATOS,M,80,10,2,55,9,3, 08/11/1961,"264.386,24","27.456,09","36.324,08","39.593,29","38.942,67","42.279,75","18.366,03","26.329,15","14.161,38","1.290,05","19.146,68","497,07",0,"1.112.429,82","111.593,97","111.623,31","111.579,26","111.659,67","111.659,67","110.174,35","110.543,76","111.508,04","111.508,04","110.579,75",0,0,"33.763,00",
 DAVID MICHAEL DOS SANTOS MIRANDA,M,66,11,15,23,7,4, 10/05/1985,"243.844,22","35.259,28","43.349,65","32.853,62","45.091,15","29.890,05","33.147,86","10.128,77","8.151,54","359,02","5.613,28","0,00",0,"937.841,64","111.544,37","111.544,37","56.799,55","64.345,04","100.004,66","94.914,31","97.663,21","102.324,88","100.368,27","98.332,98",0,0,"33.763,00",
 ANTÔNIO DA LUZ FURTADO,M,90,1,1,73,18,6, 06/01/1972,"282.344,68","34.263,89","43.088,49","42.959,20","32.920,98","47.359,21","16.303,12","19.852,22","12.243,23","8.009,70","21.960,09","3.384,55",0,"1.115.182,54","110.967,56","111.125,87","111.617,20","111.617,20","111.617,20","111.623,07","111.653,61","111.653,61","111.653,61","111.653,61",0,0,"33.763,00",
 MARCELO EDUARDO FREITAS,M,80,8,4,66,1,1, 04/03/1976,"286.506,30","31.421,05","43.796,10","33.737,54","24.745,40","39.348,34","29.355,58","26.303,93","19.417,00","19.550,28","18.173,84","657,24",0,"1.067.668,96","104.088,18","105.813,10","103.290,21","102.664,07","110.724,59","111.483,80","111.483,80","107.272,97","107.289,51","103.558,73",0,0,"33.763,00",
 PABLO OLIVA SOUZA,M,78,14,0,112,30,0, 26/07/1976,"360.476,10","28.267,00","51.491,99","65.512,79","64.732,08","41.341,87","31.189,75","32.398,76","26.832,20","17.440,00","988,39","281,27",0,"977.905,08","99.985,47","73.344,51","92.308,59","99.950,28","106.315,17","106.987,85","101.323,39","101.342,41","107.310,62","89.036,79",0,0,"33.763,00",
 EDER MAURO CARDOSO BARRA,M,79,10,3,4,12,0, 14/12/1960,"325.195,22","46.351,28","56.697,20","17.871,34","52.514,33","52.104,65","51.446,49","39.019,70","6.514,58","2.675,65","0,00","0,00",0,"1.101.131,44","111.587,65","111.029,67","109.774,54","111.611,12","111.611,12","111.168,32","110.779,91","107.856,37","107.856,37","107.856,37",0,0,"33.763,00",
 DENIS ANDERSON DA ROCHA BEZERRA,M,88,3,1,69,9,1, 17/03/1980,"369.035,79","46.094,78","53.674,69","52.475,51","52.185,85","40.861,85","33.475,40","24.901,37","18.145,39","17.544,23","29.104,45","572,27",0,"1.078.559,49","110.743,73","108.800,92","108.144,99","106.767,55","106.327,19","107.307,01","102.136,31","107.474,82","111.617,19","109.239,78",0,0,"33.763,00",
 WALDIR SOARES DE OLIVEIRA,M,86,0,6,7,44,5, 28/11/1962,"137.419,65","14.119,59","16.610,96","17.642,50","17.254,73","17.514,69","15.282,52","15.088,53","12.955,79","10.015,33","421,51","513,50",0,"987.728,92","101.978,63","99.618,58","96.319,60","92.534,14","92.534,14","94.998,88","101.543,63","103.436,75","102.749,57","102.015,00",0,0,"33.763,00",
 DIEGO LEONARDO DE ANDRADE CARVALHO,M,70,0,22,7,9,11, 08/08/1977,"201.719,62","27.409,47","32.013,45","29.883,01","17.554,55","41.393,91","15.224,17","22.079,82","8.663,35","7.497,89","0,00","0,00",0,"1.109.625,13","111.580,82","111.580,82","111.580,82","111.580,82","111.580,82","111.535,53","111.241,15","110.635,35","109.154,50","109.154,50",0,0,"33.763,00",
 DIMAS FABIANO TOLEDO JÚNIOR,M,86,1,5,18,1,3, 23/05/1973,"280.254,39","30.575,40","29.897,78","33.987,99","37.782,58","34.645,39","23.877,46","33.775,98","26.291,36","16.347,48","12.634,33","438,64",0,"965.287,10","92.717,74","90.647,71","88.844,00","89.894,36","93.796,44","94.254,41","100.197,24","96.972,36","108.044,05","109.918,79",0,0,"33.763,00",
 DOMINGOS SÁVIO CAMPOS RESENDE,M,87,2,3,29,6,1, 25/03/1957,"307.857,07","24.341,19","50.435,52","43.947,22","32.735,37","48.074,76","26.928,66","27.300,43","24.815,98","18.843,40","9.599,00","835,54",0,"1.108.990,28","109.833,82","109.833,82","111.183,95","111.653,56","110.747,01","110.990,37","111.313,88","110.806,11","111.313,88","111.313,88",0,0,"33.763,00",
 DIEGO ALEXSANDER GONCALO PAULA GARCIA,M,89,0,3,134,43,3, 10/10/1984,"255.305,66","9.153,29","13.917,88","34.929,43","39.069,90","47.847,45","36.301,69","32.663,59","20.267,53","6.819,55","11.053,47","3.281,88",0,"916.158,19","93.054,98","91.310,31","97.522,54","98.459,58","96.593,67","96.173,37","99.859,25","84.300,62","79.772,64","79.111,23",0,0,"33.763,00",
 LUIZ ANTONIO DE SOUZA TEIXEIRA JÚNIOR,M,67,25,0,14,22,0, 15/12/1973,"260.002,60","27.501,17","33.784,37","41.465,77","43.233,68","38.833,58","24.163,31","23.117,56","18.685,19","9.168,17","0,00","49,80",0,"1.074.387,81","97.653,62","97.653,62","108.819,42","110.434,31","110.434,31","110.434,31","110.434,31","110.413,15","111.647,44","106.463,32",0,0,"33.763,00",
 DOMINGOS GOMES DE AGUIAR NETO,M,79,7,6,30,25,6, 29/04/1988,"341.688,98","33.731,48","52.313,10","36.169,17","53.317,93","77.719,59","22.751,47","19.502,64","3.346,59","2.837,01","40.000,00","0,00",0,"1.105.842,15","111.544,43","111.544,43","110.497,19","107.599,23","111.235,68","111.617,24","111.617,24","111.617,24","111.617,24","106.952,23",0,0,"33.763,00",
 FREDERICO DE CASTRO ESCALEIRA,M,83,9,0,24,56,0, 24/03/1977,"309.442,84","31.170,62","36.914,75","41.257,27","38.087,59","42.514,00","33.769,22","28.862,16","24.728,50","11.486,99","20.435,08","216,66",0,"1.106.826,40","111.212,41","111.201,53","110.944,53","108.641,77","111.313,96","110.772,89","111.313,96","110.891,90","111.313,96","109.219,49",0,0,"33.763,00",
 JAZIEL PEREIRA DE SOUSA,M,69,20,3,12,26,1, 03/05/1961,"324.091,32","53.231,07","44.873,85","55.545,89","35.428,27","35.377,77","36.517,71","20.837,34","20.773,89","21.505,53","0,00","0,00",0,"1.115.897,66","111.279,95","111.565,34","111.653,51","111.653,51","111.653,51","111.477,80","111.653,51","111.653,51","111.653,51","111.653,51",0,0,"33.763,00",
 LEONARDO RIBEIRO ALBUQUERQUE,M,91,1,0,27,2,1, 14/06/1978,"313.609,03","42.371,40","34.110,23","43.935,60","51.992,40","41.703,89","36.956,95","29.525,44","11.128,25","9.478,35","12.121,45","285,07",0,"1.047.250,04","99.981,22","100.959,57","99.231,78","108.961,58","104.982,41","110.759,92","111.287,34","105.356,57","102.212,41","103.517,24",0,0,"33.763,00",
 LUIZ ALBERTO OVANDO,M,86,1,5,70,12,0, 25/09/1949,"340.885,82","40.038,05","41.231,34","52.947,39","46.480,82","47.335,38","30.870,88","29.474,27","27.038,62","21.398,59","3.657,89","412,59",0,"973.451,59","96.640,72","96.640,72","97.315,81","97.550,62","97.550,62","97.550,62","97.550,62","97.550,62","97.550,62","97.550,62",0,0,"33.763,00",
 ZACARIAS CALIL HAMU,M,82,4,6,85,26,6, 05/11/1953,"227.416,04","25.614,66","32.870,88","33.504,56","32.975,66","32.600,29","18.394,14","17.770,75","7.364,25","5.362,04","20.331,91","626,90",0,"806.210,41","83.672,50","77.891,18","81.413,26","83.956,98","83.956,98","83.754,79","77.891,18","77.891,18","77.891,18","77.891,18",0,0,"33.763,00",
 EDILAZIO GOMES DA SILVA JUNIOR,M,87,0,5,12,0,1, 04/05/1981,"269.430,92","29.645,70","67.991,37","21.709,65","54.054,00","19.692,50","28.378,82","18.023,27","5.308,77","14.235,23","10.391,61","0,00",0,"1.113.908,02","111.402,54","111.185,22","111.659,65","111.166,30","111.659,65","111.659,65","111.659,65","110.963,46","111.241,12","111.310,78",0,0,"33.763,00",
 ÉDIO VIEIRA LOPES,M,71,16,5,18,5,2, 04/01/1952,"343.353,54","42.432,81","39.836,40","47.117,63","54.268,93","97.784,62","14.519,68","22.739,81","16.760,34","878,14","7.015,18","0,00",0,"1.109.839,83","110.495,02","110.495,02","111.469,88","111.408,97","111.368,53","111.370,96","111.441,31","111.441,31","111.441,31","108.907,52",0,0,"33.763,00",
 EDUARDO HENRIQUE MAIA BISMARCK,M,81,0,11,72,9,7, 14/11/1981,"384.464,17","42.771,78","48.433,07","53.046,89","40.615,87","53.171,37","35.061,57","49.986,03","24.512,53","5.591,91","31.221,24","51,91",0,"1.081.811,75","108.439,60","100.116,32","102.925,37","105.453,61","109.885,00","110.998,37","110.998,37","110.998,37","110.998,37","110.998,37",0,0,"33.763,00",1
 EDUARDO NANTES BOLSONARO,M,76,2,14,27,12,6, 10/07/1984,"289.240,67","19.129,11","45.801,56","20.862,74","34.033,24","20.812,35","36.151,56","54.678,40","29.120,22","20.452,30","7.817,74","381,45",0,"1.098.174,63","111.598,86","111.533,88","111.447,23","111.308,14","109.360,58","109.301,13","107.577,22","107.577,22","108.466,86","110.003,51",0,0,"33.763,00",1
 EDUARDO LUIZ BARROS BARBOSA,M,92,0,0,90,17,0, 25/08/1958,"244.717,26","22.913,32","25.992,80","30.951,65","37.263,00","34.686,06","29.255,32","23.832,28","9.244,83","5.608,98","24.588,51","380,51",0,"1.114.565,19","111.453,35","111.453,35","111.453,35","111.453,35","111.453,35","111.453,35","111.453,35","111.453,35","111.453,35","111.485,04",0,0,"33.763,00",
 JOSE EDUARDO PEREIRA DA COSTA,M,83,0,9,10,9,6, 16/02/1968,"327.904,71","37.602,77","27.632,71","45.130,56","42.628,52","64.988,16","22.063,45","21.894,85","13.694,30","16.136,05","36.133,34","0,00",0,"1.112.028,74","111.313,96","111.313,96","111.421,78","111.429,22","111.429,22","111.429,22","111.429,22","110.376,50","111.374,63","110.511,03",0,0,"33.763,00",
 ELI DIAS BORGES,M,81,11,0,6,11,0, 01/09/1960,"387.768,57","31.188,98","46.066,46","51.592,15","46.239,19","48.724,20","43.313,71","41.770,08","35.826,39","32.457,67","10.263,37","326,37",0,"1.104.364,78","111.130,49","111.392,69","111.205,19","108.796,48","110.064,23","111.248,28","109.041,83","110.416,27","110.246,84","110.822,48",0,0,"33.763,00",
 EFRAIM DE ARAÚJO MORAIS FILHO,M,73,10,9,6,14,5, 18/03/1979,"259.626,75","31.920,25","54.289,28","52.463,46","51.650,40","42.763,10","7.412,58","9.627,39","8.755,96","1,36","558,52","184,45",0,"1.115.589,62","111.148,60","111.617,23","111.617,23","111.617,23","111.617,23","111.617,23","111.617,23","111.617,23","111.575,98","111.544,43",0,0,"33.763,00",
 EDUARDO PEDROSA CURY,M,88,1,3,73,3,1, 19/09/1963,"326.758,44","44.245,79","43.411,00","38.868,35","28.628,41","38.316,02","37.405,99","32.488,40","25.399,98","15.738,89","21.411,50","844,11",0,"989.725,85","101.582,78","92.109,71","91.148,77","97.477,96","98.965,06","103.240,48","98.460,60","98.460,60","98.460,60","109.819,29",0,0,"33.763,00",1
 EDUARDO HENRIQUE DA FONTE DE ALBUQUERQUE SILVA,M,84,5,3,2,40,1, 17/10/1972,"312.968,63","32.850,43","40.394,52","45.258,71","48.013,04","46.806,07","25.355,86","21.639,01","25.533,18","16.448,58","10.669,23","0,00",0,"1.055.312,52","110.448,12","108.787,76","97.120,73","102.047,21","105.204,32","111.471,69","102.622,24","103.739,73","108.433,33","105.437,39",0,0,"33.763,00",
 ELIAS VAZ DE ANDRADE,M,82,1,9,81,14,5, 04/07/1966,"165.066,01","15.838,58","26.200,21","25.592,46","27.999,68","27.596,14","12.853,99","11.787,89","3.017,22","323,45","13.514,24","342,15",0,"1.074.212,44","105.866,83","105.866,83","104.555,04","105.866,83","106.630,73","108.826,95","108.826,95","108.826,95","108.826,95","110.118,38",0,0,"33.763,00",
 ADRIANO ELI CORRÊA,M,82,10,0,42,27,0, 13/01/1976,"259.050,20","22.593,30","23.225,37","28.285,66","57.687,80","56.126,53","30.297,57","22.196,45","6.522,28","421,69","11.693,55","0,00",0,"1.048.068,72","105.205,60","105.205,60","105.205,60","105.205,60","101.881,14","104.761,01","106.115,52","106.115,52","106.115,52","102.257,61",0,0,"33.763,00",
 EMANUEL PINHEIRO DA SILVA PRIMO,M,70,19,3,11,7,1, 05/01/1995,"256.826,54","18.918,90","40.897,04","43.529,50","29.158,03","34.158,66","52.895,35","15.688,43","14.630,60","825,90","5.915,00","209,13",0,"1.067.534,67","108.820,92","109.941,35","111.435,25","111.435,25","110.245,56","109.803,54","108.192,76","97.773,24","100.583,45","99.303,35",0,0,"33.763,00",
 ELMAR JOSE VIEIRA NASCIMENTO,M,68,0,24,1,0,0, 06/07/1970,"387.228,91","11.585,43","41.325,81","49.088,47","60.314,77","42.793,20","47.062,33","37.636,26","47.299,08","35.416,34","14.707,22","0,00",0,"1.088.843,14","111.611,09","111.611,09","111.611,09","111.095,09","111.611,09","110.283,89","98.339,09","103.946,26","108.324,61","110.409,84",0,0,"33.763,00",1
 ENIO JOSÉ VERRI,M,89,1,2,32,4,0, 27/03/1961,"341.401,56","38.190,58","37.467,64","68.879,63","38.986,43","43.960,07","29.704,02","25.886,97","22.258,37","24.764,98","11.302,87","0,00",0,"1.111.367,61","111.398,83","111.398,83","111.398,83","110.220,44","110.749,59","110.538,29","111.455,18","110.876,18","111.665,72","111.665,72",0,0,"33.763,00",
 ENRICO VAN BLARCUM DE GRAAFF MISASI,M,87,5,0,43,21,0, 06/08/1994,"311.478,65","24.947,21","27.020,22","42.425,59","43.740,70","54.222,55","37.817,19","41.206,87","22.642,88","16.871,36","525,61","58,47",0,"1.106.991,70","111.586,88","111.302,18","110.816,09","106.788,80","110.974,20","110.159,38","111.013,37","111.312,77","111.544,46","111.493,57",0,0,"33.763,00",
 EMIDIO ALVES MADEIRA JUNIOR,M,80,0,12,16,2,4, 10/03/1967,"299.796,22","56.761,57","45.061,77","39.330,09","32.196,96","44.434,07","26.760,94","20.847,93","15.245,77","11.938,26","7.218,86","0,00",0,"1.114.845,39","110.980,22","110.980,22","111.528,12","111.617,15","111.623,22","111.623,22","111.623,28","111.623,32","111.623,32","111.623,32",0,0,"33.763,00",
 EROS FERREIRA BIONDINI,M,88,0,4,33,14,1, 20/05/1971,"271.458,23","20.515,33","28.975,49","33.405,69","31.526,03","36.712,77","29.487,20","35.290,07","20.709,20","17.992,30","15.160,88","1.683,27",0,"836.020,40","90.223,04","90.223,04","86.035,27","78.682,22","79.786,71","78.922,44","78.922,44","79.682,04","86.771,60","86.771,60",0,0,"33.763,00",
 EVAIR VIEIRA DE MELO,M,87,2,3,67,4,1, 02/04/1972,"308.184,85","38.264,38","44.663,80","61.029,26","38.441,09","43.315,06","24.394,91","23.069,95","14.844,44","2.615,55","17.430,15","116,26",0,"1.096.962,77","106.904,01","110.527,26","107.201,84","107.178,21","108.042,26","111.172,72","111.328,33","111.555,88","111.526,13","111.526,13",0,0,"33.763,00",
 EXPEDITO GONCALVES FERREIRA NETTO,M,82,1,9,2,16,3, 05/10/1988,"210.097,39","14.767,54","30.093,83","31.810,97","30.510,09","25.416,15","18.925,02","27.570,19","12.641,28","1.388,85","15.991,39","982,08",0,"1.099.381,29","111.544,33","111.544,33","111.544,33","111.529,16","111.539,45","111.100,52","109.785,83","109.894,82","110.132,19","100.766,33",0,0,"33.763,00",
